#temperature[K]     pressure[atm]       dmu[meV]            dmu_error[meV]      
245.0               7000.0              -0.8968             0.1962              
250.0               7000.0              -0.8566             0.2856              
255.0               7000.0              -0.8842             0.1456              
260.0               7000.0              -1.0016             0.1911              
265.0               7000.0              -1.0011             0.0994              
270.0               7000.0              -1.0841             0.1715              
275.0               7000.0              -1.1627             0.1618              
255.0               9000.0              -1.0097             0.2480              
260.0               9000.0              -1.0090             0.1695              
265.0               9000.0              -1.1470             0.1797              
270.0               9000.0              -1.1119             0.2148              
275.0               9000.0              -1.1973             0.1722              
280.0               9000.0              -1.2050             0.1806              
285.0               9000.0              -1.4221             0.1512              
