#P/atm T/K dmu_tot dmu_ice/kJmol-1 dmu_ice_err/kJmol-1 dmu_liq/kJmol-1 dmu_liq_err/kJmol-1
7000 245 -0.058998246972841645 0.12295528513905446 0.009991250376491527 0.1819535321118961 0.006665450381158758
7000 250 -0.04835246265561641 0.12403875285425137 0.006415283312105322 0.17239121550986777 0.024710325974120727
7000 255 -0.059586167730038955 0.11731704239868064 0.007832105441901606 0.1769032101287196 0.004935332631187446
7000 260 -0.061414438996235665 0.11726028765892804 0.0053949849955091545 0.1786747266551637 0.011369518989005071
7000 265 -0.05835087157647029 0.1162110207004893 0.003034546845912074 0.1745618922769596 0.0035303233655689147
7000 270 -0.059826103926258256 0.11349356567185065 0.006321447175692844 0.1733196695981089 0.006659841039427831
7000 275 -0.05815072563259241 0.10998641601737624 0.008029871573781574 0.16813714164996865 0.009444058525050281
9000 255 -0.052554252265064216 0.13215091541669777 0.014343558909056546 0.18470516768176198 0.012936615119069354
9000 260 -0.05732900416493045 0.13198127209871582 0.008875701377786507 0.18931027626364627 0.006756913477861163
9000 265 -0.0603541453122578 0.12940683982556717 0.010870608375061808 0.18976098513782497 0.005831681694951988
9000 270 -0.05327735567976266 0.1308237959537966 0.0033884381536332473 0.18410115163355925 0.01673092965138585
9000 275 -0.054659482686822525 0.1275837087570686 0.010320866736078224 0.18224319144389112 0.0025026609022324358
9000 280 -0.054488664835713935 0.12575948832000436 0.01015454395741567 0.1802481531557183 0.00820878213431844
9000 285 -0.059865012316288976 0.12335796366305153 0.0017212725279479376 0.1832229759793405 0.01064125120460655
