1.980000000000000000e+02 9.372451792181860641e-01 5.493855138862155027e-03 1.829636934147314875e+01 6.663876637458575836e+00
2.080000000000000000e+02 9.382939098062594852e-01 2.299927055984998456e-02 2.798016756107887559e+01 2.277494331813843331e+01
2.130000000000000000e+02 9.277581195485442578e-01 1.929581439729527188e-03 1.713611402994999366e+01 1.292971591573387258e+00
2.180000000000000000e+02 9.616711117264361564e-01 1.289399851828748784e-02 8.946063837063913127e+01 5.738082546375643034e+01
2.230000000000000000e+02 9.849428269547363390e-01 1.281688174601360508e-03 7.255413435421051815e+01 2.371317954190923061e+01
2.280000000000000000e+02 9.959396902413468755e-01 3.270159956001637142e-03 7.058109763399097858e+01 8.785441389571367665e+00
2.380000000000000000e+02 1.006088356015956586e+00 8.795192153875363043e-04 5.992245574844928768e+01 3.066852990669038270e+00
2.480000000000000000e+02 1.011088972448640488e+00 7.428925163408206739e-04 5.055192948658414309e+01 1.426342178061085209e+00
2.580000000000000000e+02 1.013736757383738363e+00 9.279515385552089936e-04 4.620127323942477204e+01 1.664539423398918583e+00
2.680000000000000000e+02 1.014198757720726096e+00 7.461867508971634869e-04 4.239457255930472712e+01 9.519365016721756945e-01
2.780000000000000000e+02 1.013589425812357447e+00 1.193114541790635252e-03 4.053770934160556294e+01 2.397198543147097460e+00
2.880000000000000000e+02 1.011983134564913289e+00 8.919270750423516055e-04 3.883385857688650589e+01 1.171298251211295272e+00
2.980000000000000000e+02 1.009310839601699650e+00 4.618200128140273388e-04 3.774764557235137374e+01 2.688043800421878071e+00
3.080000000000000000e+02 1.005807859051348840e+00 4.990745709937818375e-04 3.741116756208059257e+01 1.340316928234145388e+00
3.180000000000000000e+02 1.001785787824057472e+00 5.929558593422493140e-04 3.806025990627313860e+01 3.626419868156348092e-01
3.280000000000000000e+02 9.972105538206083031e-01 3.332053618730521321e-04 3.793436112582597275e+01 8.047873345019604940e-01
3.380000000000000000e+02 9.918843614528505270e-01 5.728771779103255342e-04 3.916757689578017931e+01 8.980012589528000300e-01
3.480000000000000000e+02 9.861334247364761385e-01 4.305463232396875332e-04 4.034725733339767118e+01 4.475109887356893967e-01
3.680000000000000000e+02 9.732100537256089812e-01 6.092736080272667925e-04 4.340069663814247747e+01 1.698117888503309914e+00
