#T[k]                         P[atm]                        dmu[ice-liq,simp,h2o]         dmu_error[ice-liq,spline]     dmu[ice-liq,simp,h2o]         dmu_error[ice-liq,spline]     
230.0                         2000.0                        0.3641248356415624            0.15896506717302528           0.32403784660727386           0.15446524881285448           
235.0                         2000.0                        0.2608126469573392            0.13384587156522076           0.3175178483368497            0.13398485912291122           
240.0                         2000.0                        -0.0217430924870734           0.1302405625271013            -0.009386922873462433         0.12814028938418018           
245.0                         2000.0                        0.08450447222027191           0.13838591666615274           0.11401937865413159           0.1358156650504424            
250.0                         2000.0                        -0.013527507001983907         0.13897780817388417           0.05454176112095832           0.13878798035050233           
255.0                         2000.0                        0.09260587169288004           0.1695488714458362            0.13814564822523384           0.16925643887266614           
260.0                         2000.0                        -0.18137993880961556          0.10712800175720938           -0.19350891438034035          0.10430378156811132           
235.0                         3000.0                        0.1382010004381815            0.1379438640136324            0.2331636367417424            0.1395821728884596            
240.0                         3000.0                        0.20519631848678554           0.12152741299399616           0.19765886838673824           0.1192191181794153            
245.0                         3000.0                        0.16737225063921957           0.1225618072735215            0.16959162241728287           0.11989902288276263           
250.0                         3000.0                        0.10476767240697038           0.1151900448288819            0.15814150296639784           0.11515335770179413           
255.0                         3000.0                        -0.018777181028427403         0.13472427162731154           0.027624422306837593          0.13378891894380746           
260.0                         3000.0                        -0.10017395044143562          0.1608736196248634            0.059665039051552404          0.16275593450576764           
265.0                         3000.0                        -0.21062890974848192          0.13011979661145384           -0.20371049364391414          0.12691247692713126           
270.0                         3000.0                        -0.26334440401240855          0.10757303732006535           -0.2555117669033824           0.10745085571718743           
250.0                         5000.0                        -0.06268865577959293          0.1524745345248208            0.15046975835986798           0.15903236952384142           
255.0                         5000.0                        -0.10534884719391546          0.12718557959026522           -0.10183726783741998          0.12567372082237266           
260.0                         5000.0                        -0.22151794853507267          0.15511340828584186           -0.1571538209186124           0.1559882263852933            
265.0                         5000.0                        -0.18074243327269168          0.11217285302245494           -0.1255739223193464           0.11342764023066154           
270.0                         5000.0                        -0.3978228954547769           0.13000719499359742           -0.42211825905842704          0.12715522488549386           
250.0                         6000.0                        -0.03781409395601121          0.15627017262472298           0.16323069748115648           0.16066116924103163           
255.0                         6000.0                        -0.03279556726046029          0.13578387654900104           0.0739562393026092            0.13884133175790853           
260.0                         6000.0                        -0.06776232844295094          0.11069644146383562           -0.02638240958140159          0.11186975664346827           
265.0                         6000.0                        -0.1937458855362697           0.15944045108689875           -0.14682472291300408          0.1589261330833846            
270.0                         6000.0                        -0.38993197854231076          0.16325171884503997           -0.21353064397912858          0.1675378282011732            
