#T[k]                         P[atm]                        dmu[ice-liq,simp,h2o]         dmu_error[ice-liq,spline]     dmu[ice-liq,simp,h2o]         dmu_error[ice-liq,spline]     
245.0                         5000.0                        -0.21806310638110837          0.14703528287009127           -0.22739213445985862          0.14446454508791612           
250.0                         5000.0                        -0.19834174007066485          0.15268193166324773           -0.17521140614980568          0.15204005816346464           
255.0                         5000.0                        -0.37717506319113203          0.14322860293053852           -0.42609326209782894          0.13898847980614326           
260.0                         5000.0                        -0.3214291438609719           0.1284499230718824            -0.2873588228164039           0.12748277887011814           
265.0                         5000.0                        -0.44991334053539456          0.12641828412804418           -0.4941768532618559           0.12193046950218978           
255.0                         6000.0                        -0.27591692996689143          0.14990294020921596           -0.28617133931166894          0.14908146420125173           
260.0                         6000.0                        -0.37396269437864926          0.1575530145520373            -0.2426930398817072           0.15899497454209774           
265.0                         6000.0                        -0.4377951745878277           0.15025822985049353           -0.3629622633816665           0.14943448489005148           
270.0                         6000.0                        -0.5752321025305885           0.1317279070045942            -0.5879662523731128           0.1289322858734184            
275.0                         6000.0                        -0.5908188018966904           0.11672281228024001           -0.6520829354019578           0.10820912473219485           
