#T[k]                         P[atm]                        dmu[ice-liq,simp,h2o]         dmu_error[ice-liq,spline]     dmu[ice-liq,simp,h2o]         dmu_error[ice-liq,spline]     
245.0                         7000.0                        -0.2852776604744365           0.15164858714423957           -0.34836670533207437          0.14960745165076278           
250.0                         7000.0                        -0.35553458631520213          0.10748056480215917           -0.35507079790696694          0.10667969770393275           
255.0                         7000.0                        -0.2666251952830605           0.10961372415345              -0.2550964834452341           0.10774092633305976           
260.0                         7000.0                        -0.36512181016792333          0.13963379658258612           -0.25280585012118395          0.1423563340912316            
265.0                         7000.0                        -0.3963433017912346           0.0869699820245324            -0.43772770931925564          0.07983959476580102           
270.0                         7000.0                        -0.46403241658770383          0.14266043716820198           -0.29069763433713014          0.1474497784352134            
275.0                         7000.0                        -0.5600211262651924           0.0982536160459811            -0.5172114389742324           0.09910710176396226           
255.0                         9000.0                        -0.4649832213508173           0.14639426976011138           -0.3441051454480323           0.14768270896665453           
260.0                         9000.0                        -0.41475277856119064          0.12399249169619325           -0.40450675025772426          0.12370305699518397           
265.0                         9000.0                        -0.5215066994313341           0.12628994278990877           -0.42515087498556137          0.12726898367842643           
270.0                         9000.0                        -0.559702632849506            0.12182437438980104           -0.5618318826447752           0.11901283450993222           
275.0                         9000.0                        -0.6308318859336653           0.1324614278134315            -0.5613404170600744           0.13458803216362114           
280.0                         9000.0                        -0.6402617327132472           0.11964142502027392           -0.6408595517720386           0.11764050484504596           
285.0                         9000.0                        -0.8016109050149733           0.10195461141597811           -0.7817124394313132           0.10125042194525846           
