#T[k]                         P[atm]                        dmu[ice-liq,simp,h2o]         dmu_error[ice-liq,spline]     dmu[ice-liq,simp,h2o]         dmu_error[ice-liq,spline]     
240.0                         2000.0                        0.41271902136255956           0.13032647260989078           0.3710912934480125            0.12473792478737697           
260.0                         2000.0                        0.3107037084111633            0.13740288366768258           0.2630350739003726            0.13286854301315762           
245.0                         3000.0                        0.4555594285881229            0.09756263209145039           0.39598954610255743           0.08826242898945069           
250.0                         3000.0                        0.4178645579216997            0.1133348993770846            0.3719422739622513            0.10643963038664103           
255.0                         3000.0                        0.34946302903650217           0.1130044290275376            0.36628688312608376           0.11154163416656385           
260.0                         3000.0                        0.41381834941999907           0.12307711671123867           0.38570194627876375           0.12126109781323838           
240.0                         4000.0                        0.508063763769088             0.16164880074539523           0.6417224798072536            0.16304200551923526           
245.0                         4000.0                        0.5378009779912107            0.11671676362851807           0.499489426515164             0.10977244231181638           
250.0                         4000.0                        0.5618392502672496            0.14047663996116128           0.5237782583889169            0.13612780688092851           
255.0                         4000.0                        0.5074725495149771            0.11857583994967738           0.4793006833266873            0.1127074394628195            
260.0                         4000.0                        0.4778990706846825            0.14965767904482796           0.5200643985340039            0.14970310298404033           
240.0                         5000.0                        0.6477145606505214            0.1464305153110551            0.6167662984310454            0.14143799466379348           
260.0                         5000.0                        0.45744595755877054           0.16280616745377247           0.4439979396921482            0.15763180487035094           
245.0                         6000.0                        0.5214765933178311            0.15175138839959357           0.504502807136075             0.147969520261687             
250.0                         6000.0                        0.5395415427213922            0.09683982545147934           0.4823107979723211            0.08900728752154652           
255.0                         6000.0                        0.45304698742257943           0.12455528038433611           0.3783362983178804            0.11760413064308134           
260.0                         6000.0                        0.41310672786672153           0.13457249872939725           0.4355242649234016            0.13259068938821134           
