#temperature[K]  pressure[atm]       dmu[meV]   dmu_err[meV]
            230           2000         1.0471         0.0580
            235           2000         1.0289         0.0301
            240           2000         1.0146         0.0286
            245           2000         0.9718         0.0638
            250           2000         0.9428         0.0103
            255           2000         0.9122         0.0365
            260           2000         0.8893         0.0328
            235           3000         1.1527         0.0281
            240           3000         1.1178         0.0704
            245           3000         1.0804         0.0388
            250           3000         1.0679         0.0232
            255           3000         1.0109         0.0513
            260           3000         1.0110         0.0434
            265           3000         0.9670         0.0207
            270           3000         0.9438         0.0207
            250           5000         1.3003         0.0359
            255           5000         1.2643         0.0403
            260           5000         1.1963         0.0318
            265           5000         1.1885         0.0348
            270           5000         1.1122         0.0281
            250           6000         1.3249         0.1087
            255           6000         1.3537         0.0878
            260           6000         1.2627         0.1249
            265           6000         1.3286         0.0531
            270           6000         1.2035         0.0593
