#temperature[K]  pressure[atm]       dmu[meV]   dmu_err[meV]
            260              1         0.6424         0.0287
            265              1         0.6187         0.0191
            270              1         0.6000         0.0075
            275              1         0.5756         0.0140
            280              1         0.5452         0.0404
            255           1000         0.7833         0.0214
            260           1000         0.7557         0.0314
            265           1000         0.7463         0.0409
            270           1000         0.7147         0.0187
