#temperature[K]  pressure[atm]       dmu[meV]   dmu_err[meV]
            245           7000         1.2743         0.1036
            250           7000         1.2856         0.0665
            255           7000         1.2159         0.0812
            260           7000         1.2153         0.0559
            265           7000         1.2044         0.0315
            270           7000         1.1763         0.0655
            275           7000         1.1399         0.0832
            255           9000         1.3696         0.1487
            260           9000         1.3679         0.0920
            265           9000         1.3412         0.1127
            270           9000         1.3559         0.0351
            275           9000         1.3223         0.1070
            280           9000         1.3034         0.1052
            285           9000         1.2785         0.0178
