#temperature[K]     pressure[atm]       dmu[meV]            dmu_error[meV]      
230.0               2000.0              -0.4420             0.2337              
235.0               2000.0              -0.5671             0.2302              
240.0               2000.0              -0.7622             0.1711              
245.0               2000.0              -0.7670             0.1768              
250.0               2000.0              -0.8705             0.1641              
255.0               2000.0              -0.7207             0.1921              
260.0               2000.0              -1.0433             0.1525              
235.0               3000.0              -0.5856             0.2013              
240.0               3000.0              -0.4674             0.1898              
245.0               3000.0              -0.6265             0.1743              
250.0               3000.0              -0.6402             0.1480              
255.0               3000.0              -0.7751             0.1691              
260.0               3000.0              -0.7983             0.2034              
265.0               3000.0              -0.9764             0.1436              
270.0               3000.0              -1.0582             0.1193              
250.0               5000.0              -0.5450             0.2552              
255.0               5000.0              -0.6780             0.1976              
260.0               5000.0              -0.7891             0.2369              
265.0               5000.0              -0.7510             0.1482              
270.0               5000.0              -0.9963             0.1530              
250.0               6000.0              -0.5522             0.2367              
255.0               6000.0              -0.5964             0.1859              
260.0               6000.0              -0.6245             0.1941              
265.0               6000.0              -0.6402             0.2122              
270.0               6000.0              -0.9220             0.1801              
