#P/atm T/K dmu_tot dmu_ice/kJmol-1 dmu_ice_err/kJmol-1 dmu_liq/kJmol-1 dmu_liq_err/kJmol-1
5000 245 -0.11190452048192223 0.06850498691628973 0.004688715400698743 0.18040950739821196 0.005438636907723611
5000 250 -0.10425024099678615 0.06649326483236431 0.004870040950358845 0.17074350582915046 0.01359570042995152
5000 255 -0.11114441213486727 0.06472371026969033 0.006215950099143016 0.1758681224045576 0.0020817607790537093
5000 260 -0.10531943560442267 0.06271179039959579 0.004301840562543893 0.16803122600401846 0.007877300495551093
5000 265 -0.10976358728879992 0.06179446846953982 0.003975231418505494 0.17155805575833974 0.011112572947646704
6000 255 -0.09653159669397939 0.07567450553172843 0.0016569943367498612 0.1722061022257078 0.015401126985178827
6000 260 -0.10035100416700418 0.07240992323975867 0.005527373375593528 0.17276092740676285 0.004170611640559395
6000 265 -0.1024997544257258 0.070320776483781 0.0042381663986725574 0.1728205309095068 0.002861107189677336
6000 270 -0.0993240683587558 0.06941690211705388 0.004646424958183667 0.1687409704758097 0.011692826354080142
6000 275 -0.09426700160625075 0.07104953063538334 0.005646274890086138 0.1653165322416341 0.0038833499853834696
