#temperature[K]     pressure[atm]       dmu[meV]            dmu_error[meV]      
245.0               5000.0              -1.3779             0.1648              
250.0               5000.0              -1.2788             0.2138              
255.0               5000.0              -1.5291             0.1585              
260.0               5000.0              -1.4130             0.1586              
265.0               5000.0              -1.5875             0.1759              
255.0               6000.0              -1.2764             0.2196              
260.0               6000.0              -1.4141             0.1731              
265.0               6000.0              -1.5001             0.1593              
270.0               6000.0              -1.6046             0.1854              
275.0               6000.0              -1.5678             0.1366              
