               #temperature[K]                 pressure[atm]             dmu[meV,liq->ice]         dmu_err[meV,liq->ice]
                           245                          5000                       -1.1598                        0.0744
                           250                          5000                       -1.0805                        0.1497
                           255                          5000                       -1.1519                        0.0679
                           260                          5000                       -1.0916                        0.0930
                           265                          5000                       -1.1376                        0.1223
                           255                          6000                       -1.0005                        0.1605
                           260                          6000                       -1.0401                        0.0718
                           265                          6000                       -1.0623                        0.0530
                           270                          6000                       -1.0294                        0.1304
                           275                          6000                       -0.9770                        0.0710
