#temperature[K]     pressure[atm]       dmu[meV]            dmu_error[meV]      
240.0               2000.0              0.4049              0.1946              
260.0               2000.0              0.3368              0.1470              
245.0               3000.0              0.3775              0.1880              
250.0               3000.0              0.3991              0.1828              
255.0               3000.0              0.3125              0.1401              
260.0               3000.0              0.3909              0.1429              
240.0               4000.0              0.4821              0.1934              
245.0               4000.0              0.5103              0.1513              
250.0               4000.0              0.5348              0.1608              
255.0               4000.0              0.5041              0.1746              
260.0               4000.0              0.4408              0.1716              
240.0               5000.0              0.6229              0.2591              
260.0               5000.0              0.3933              0.1935              
245.0               6000.0              0.3000              0.1831              
250.0               6000.0              0.3814              0.1656              
255.0               6000.0              0.3684              0.1421              
260.0               6000.0              0.2913              0.1684              
