#P/atm T/K dmu_tot dmu_ice/kJmol-1 dmu_ice_err/kJmol-1 dmu_liq/kJmol-1 dmu_liq_err/kJmol-1
2000 240 0.0025152147014370074 0.17094635197244257 0.0020919368163248636 0.16843113727100556 0.004581534880309104
2000 260 0.0025152147014370074 0.17094635197244257 0.0020919368163248636 0.16843113727100556 0.004581534880309104
3000 245 -0.007530816199708051 0.17236917927605075 0.0037638952424633603 0.1798999954757588 0.01504579292907146
3000 250 -0.0018145723057074181 0.17238358452483982 0.004682991279361141 0.17419815683054723 0.013022081154059346
3000 255 -0.0035674059853395557 0.16716222259585373 0.0032697628654483678 0.17072962858119328 0.007290712158420356
3000 260 -0.0022074712490157133 0.16898367738880166 0.003311807995226047 0.17119114863781737 0.006175555244787683
4000 240 -0.0025082146752559153 0.17192508158116998 0.005133790774908486 0.1744332962564259 0.008854061115141634
4000 245 -0.0026539182654347904 0.1686902494050042 0.0012012439268469124 0.171344167670439 0.009208744495223188
4000 250 -0.0026092033190238395 0.1689675099117978 0.002861980740835702 0.17157671323082163 0.006989412572200707
4000 255 -0.00032753277370267675 0.1690370603018464 0.0014989157584197467 0.16936459307554907 0.012266348617420894
4000 260 -0.003579902900011034 0.16555368543285748 0.0019012858623094317 0.1691335883328685 0.007874904921834208
5000 240 -0.002390107033280936 0.16991095617892435 0.00435625414750438 0.17230106321220529 0.020151343994061613
5000 260 -0.006184411762879483 0.1647477904762048 0.0042864946090172265 0.17093220223908429 0.00912668855863137
6000 245 -0.021375678324673963 0.1663471748930439 0.006334655351174617 0.18772285321771787 0.00760089945191531
6000 250 -0.015249523264648568 0.16546322956908271 0.001539871606718604 0.18071275283373128 0.012864547054783428
6000 255 -0.008164892499760434 0.16387040902669026 0.0020948380591672873 0.1720353015264507 0.006251042420578316
6000 260 -0.01175122068686843 0.16385483818338006 0.0034973154480216575 0.1756060588702485 0.009118556228863943
