               #temperature[K]                 pressure[atm]             dmu[meV,liq->ice]         dmu_err[meV,liq->ice]
                           240                          2000                       -0.0078                        0.1445
                           260                          2000                        0.0261                        0.0522
                           245                          3000                       -0.0781                        0.1607
                           250                          3000                       -0.0188                        0.1434
                           255                          3000                       -0.0370                        0.0828
                           260                          3000                       -0.0229                        0.0726
                           240                          4000                       -0.0260                        0.1061
                           245                          4000                       -0.0275                        0.0963
                           250                          4000                       -0.0270                        0.0783
                           255                          4000                       -0.0034                        0.1281
                           260                          4000                       -0.0371                        0.0840
                           240                          5000                       -0.0248                        0.2137
                           260                          5000                       -0.0641                        0.1045
                           245                          6000                       -0.2215                        0.1025
                           250                          6000                       -0.1581                        0.1343
                           255                          6000                       -0.0846                        0.0683
                           260                          6000                       -0.1218                        0.1012
