#temperature[K]  pressure[atm]       dmu[meV]   dmu_err[meV]
            240           2000         1.8187         0.0277
            260           2000         1.7717         0.0217
            245           3000         1.7865         0.0390
            250           3000         1.7866         0.0485
            255           3000         1.7325         0.0339
            260           3000         1.7514         0.0343
            240           4000         1.7819         0.0532
            245           4000         1.7484         0.0125
            250           4000         1.7512         0.0297
            255           4000         1.7519         0.0155
            260           4000         1.7158         0.0197
            240           5000         1.7610         0.0451
            260           5000         1.7075         0.0444
            245           6000         1.7241         0.0657
            250           6000         1.7149         0.0160
            255           6000         1.6984         0.0217
            260           6000         1.6982         0.0362
