  93.92231    0.24579
 100.23713    0.24151
 106.55195    0.23881
 112.86677    0.23498
 119.18159    0.23205
 125.49641    0.22890
 131.81123    0.22620
 138.12605    0.22282
 144.44088    0.21899
 150.75570    0.21584
 157.07052    0.21269
 163.38534    0.20953
 169.70016    0.20638
 176.01498    0.20255
 182.32980    0.19918
 188.64462    0.19602
 194.95944    0.19242
 201.27426    0.18927
 207.58908    0.18567
 213.90390    0.18206
 220.21872    0.17824
 226.53354    0.17486
 230.74342    0.17351
