#temperature[K]     pressure[atm]       dmu[meV]            dmu_error[meV]      
260.0               1.0                 0.1954              0.1829              
265.0               1.0                 -0.1042             0.1891              
270.0               1.0                 -0.2167             0.1441              
275.0               1.0                 -0.1553             0.2197              
280.0               1.0                 -0.3075             0.1885              
255.0               1000.0              -0.0468             0.2045              
260.0               1000.0              -0.0380             0.1703              
265.0               1000.0              -0.1032             0.1898              
270.0               1000.0              -0.1667             0.2140              
