#P/atm T/K dmu_tot dmu_ice/kJmol-1 dmu_ice_err/kJmol-1 dmu_liq/kJmol-1 dmu_liq_err/kJmol-1
1 260.0 -0.09152155716110684 0.06198326830275076 0.0027722891680458353 0.1535048254638576 0.007605727672494217
1 265 -0.08854532669646525 0.05969645273359617 0.0018419545958385404 0.14824177943006142 0.00730336786625437
1 270 -0.09013145855906081 0.05788820755040787 0.0007283865105490972 0.14801966610946868 0.003208450135734509
1 275 -0.09018201365696896 0.05553851110613878 0.001346801260980326 0.14572052476310773 0.006299811384870451
1 280 -0.09125165775189785 0.05260468373291001 0.003901163559834647 0.14385634148480786 0.0070814338991948425
1000 255 -0.09443654438132401 0.0755745268613707 0.002067971535441548 0.1700110712426947 0.0034723833421238426
1000 260 -0.09443654438132401 0.0755745268613707 0.002067971535441548 0.1700110712426947 0.0034723833421238426
1000 265 -0.08924615668721445 0.07200912426854483 0.003945883821650743 0.16125528095575928 0.005478581547941598
1000 270 -0.08515612454252337 0.06895812006335876 0.0017997084416525371 0.15411424460588213 0.013508678636179066
