               #temperature[K]                 pressure[atm]             dmu[meV,liq->ice]         dmu_err[meV,liq->ice]
                           260                             1                       -0.9486                        0.0839
                           265                             1                       -0.9177                        0.0781
                           270                             1                       -0.9341                        0.0341
                           275                             1                       -0.9347                        0.0668
                           280                             1                       -0.9458                        0.0838
                           255                          1000                       -0.9788                        0.0419
                           260                          1000                       -0.9400                        0.0459
                           265                          1000                       -0.9250                        0.0700
                           270                          1000                       -0.8826                        0.1412
